minute,hour,requests
0,0,1
1,0,0
2,0,1
3,0,1
4,0,3
5,0,1
6,0,2
7,0,0
8,0,1
9,0,3
10,0,1
11,0,0
12,0,1
13,0,0
14,0,1
15,0,0
16,0,1
17,0,1
18,0,1
19,0,4
20,0,2
21,0,1
22,0,2
23,0,2
24,0,0
25,0,2
26,0,2
27,0,2
28,0,2
29,0,1
30,0,3
31,0,3
32,0,2
33,0,3
34,0,0
35,0,1
36,0,1
37,0,3
38,0,0
39,0,3
40,0,3
41,0,1
42,0,1
43,0,3
44,0,3
45,0,6
46,0,2
47,0,2
48,0,1
49,0,0
50,0,4
51,0,2
52,0,1
53,0,3
54,0,0
55,0,1
56,0,0
57,0,0
58,0,2
59,0,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,0
66,1,2
67,1,1
68,1,0
69,1,2
70,1,0
71,1,1
72,1,1
73,1,0
74,1,1
75,1,2
76,1,0
77,1,0
78,1,0
79,1,3
80,1,0
81,1,1
82,1,0
83,1,1
84,1,2
85,1,0
86,1,1
87,1,0
88,1,1
89,1,0
90,1,1
91,1,0
92,1,2
93,1,3
94,1,1
95,1,2
96,1,2
97,1,1
98,1,0
99,1,0
100,1,0
101,1,0
102,1,1
103,1,1
104,1,2
105,1,2
106,1,1
107,1,2
108,1,0
109,1,0
110,1,0
111,1,0
112,1,4
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,2
119,1,2
120,2,3
121,2,3
122,2,1
123,2,3
124,2,1
125,2,2
126,2,0
127,2,0
128,2,4
129,2,1
130,2,0
131,2,0
132,2,1
133,2,1
134,2,1
135,2,1
136,2,1
137,2,2
138,2,2
139,2,0
140,2,1
141,2,1
142,2,0
143,2,1
144,2,2
145,2,1
146,2,2
147,2,0
148,2,0
149,2,0
150,2,1
151,2,1
152,2,1
153,2,0
154,2,2
155,2,1
156,2,1
157,2,1
158,2,0
159,2,2
160,2,1
161,2,1
162,2,0
163,2,1
164,2,1
165,2,3
166,2,1
167,2,0
168,2,2
169,2,0
170,2,0
171,2,0
172,2,0
173,2,0
174,2,2
175,2,1
176,2,2
177,2,1
178,2,0
179,2,0
180,3,1
181,3,1
182,3,2
183,3,0
184,3,1
185,3,3
186,3,1
187,3,0
188,3,0
189,3,0
190,3,0
191,3,1
192,3,1
193,3,0
194,3,2
195,3,1
196,3,1
197,3,2
198,3,0
199,3,0
200,3,0
201,3,1
202,3,0
203,3,0
204,3,0
205,3,1
206,3,1
207,3,0
208,3,1
209,3,1
210,3,2
211,3,0
212,3,0
213,3,1
214,3,2
215,3,2
216,3,1
217,3,0
218,3,0
219,3,0
220,3,1
221,3,1
222,3,0
223,3,0
224,3,0
225,3,0
226,3,1
227,3,0
228,3,2
229,3,0
230,3,0
231,3,3
232,3,1
233,3,0
234,3,0
235,3,1
236,3,1
237,3,0
238,3,1
239,3,2
240,4,1
241,4,0
242,4,0
243,4,0
244,4,0
245,4,1
246,4,0
247,4,1
248,4,0
249,4,2
250,4,2
251,4,1
252,4,0
253,4,3
254,4,1
255,4,0
256,4,4
257,4,1
258,4,2
259,4,3
260,4,1
261,4,1
262,4,1
263,4,0
264,4,1
265,4,3
266,4,1
267,4,0
268,4,1
269,4,0
270,4,0
271,4,4
272,4,0
273,4,1
274,4,0
275,4,1
276,4,2
277,4,1
278,4,0
279,4,5
280,4,1
281,4,2
